Restaurant ID,Restaurant Name,Restaurant Cuisine,Restaurant Rating,Estimate time of Delivery,Restaurant Distance from Delivery Location,Is promo available,Restaurant latitude,Restaurant longitude,Estimate Delivery Fee,Restaurant Image Link,Promotional Offers
4-C2LYG2CGC4AYJA,Co Chung Restaurant - Lorong Telok,"Vietnamese, BBQ & Grill, Drinks & Beverages",4,30,1.391,False,1.28699182092609,103.848753310453,,https://food-cms.grab.com/compressed_webp/merchants/4-C2LYG2CGC4AYJA/hero/07379e5d2ad9479e851e1e860ab16781_1615559965934971561.webp,
4-CZDXJJMKNPBVWE,Tong Xin Ru Yi - Lorong Telok,"Chinese, Noodles",4.8,25,1.397,False,1.286922525,103.84877415,,https://food-cms.grab.com/compressed_webp/merchants/4-CZDXJJMKNPBVWE/hero/23bce959170e40ce86b556e38ca241a7_1588906837008569600.webp,
4-CZDUHEJHWATWJX,Freakin' Yummy Izakaya (FYI) - Circular Road,"Japanese, BBQ & Grill",4.6,25,1.477,False,1.286009,103.849236,,https://food-cms.grab.com/compressed_webp/merchants/4-CZDUHEJHWATWJX/hero/86b7240e315a44c096b9ffc3a7dec83e_1620272891724084471.webp,
4-C3EFE3E1RLEBDE,The Great Mischief - National Gallery Singapore,"Spanish, Coffee & Tea, Breakfast & Brunch, Pasta",3.7,25,1.214,False,1.291183,103.851917,,https://food-cms.grab.com/compressed_webp/merchants/4-C3EFE3E1RLEBDE/hero/cc65cb41a92c4ae38bf69fdc914bdda4_1648526497825173058.webp,
4-CYTKLXJFGRMVNA,Mr Bean - Raffles Place MRT Station,"Local & Malaysian, Breakfast & Brunch, Healthy",4.4,30,1.548,False,1.2846465,103.8514938,,https://food-cms.grab.com/compressed_webp/merchants/4-CYTKLXJFGRMVNA/hero/c97ffd2a77774255b921c7e0757c9106_1602235043382800963.webp,
4-C2DJCGCKVN63J6,Legendary Bak Kut Teh - South Bridge Road,"Local & Malaysian, Chinese, Noodles",4.3,30,1.209,False,1.287758,103.84844771,,https://food-cms.grab.com/compressed_webp/merchants/4-C2DJCGCKVN63J6/hero/abe6ba18fea440e897a41f27184c15be_1607502208797574101.webp,
4-C2THVYVKT6UKCA,The Grill Knife - Raffles Place MRT Station,"Kids Friendly, Halal, BBQ & Grill, Western",4.3,35,1.507,True,1.28463,103.85139,,https://food-cms.grab.com/compressed_webp/merchants/4-C2THVYVKT6UKCA/hero/4815c38b21504b55aca56a81c1cfd9d8_1620795649946870743.webp,['zeusPromoShortTag']
4-C2AGSB4CRKVHL2,Killiney Kopitiam - Lorong Telok,"Breakfast & Brunch, Drinks & Beverages, Coffee & Tea",4.4,30,1.432,False,1.2867425,103.8486574,,https://food-cms.grab.com/compressed_webp/merchants/4-C2AGSB4CRKVHL2/hero/87d2473194ea45f4bd75349d87fb4b09_1600682509668671223.webp,
4-C6EASFDJT6XTLT,MinXiaoMin - South Bridge Road,"Chinese, Vegetarian Friendly, Alcohol, Drinks & Beverages",,30,1.224,False,1.287350684,103.8484559,,https://food-cms.grab.com/compressed_webp/merchants/4-C6EASFDJT6XTLT/hero/bcc6df513a414f609b408c2e815ea038_1708309530480419932.webp,
4-C3NZSEWUCBVBAT,Gyo Gyo - Funan,"Japanese, Pasta, Seafood, Drinks & Beverages",4.6,30,0.504,False,1.29106578346931,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C3NZSEWUCBVBAT/hero/b7889433a7c544b9a1db44ed3594e207_1660534305798829825.webp,
4-C3CDSE4FCA6BE6,Boost Juice Bars - Funan,"Drinks & Beverages, Ice Cream, Dessert",4.7,25,0.5,False,1.29106578346931,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C3CDSE4FCA6BE6/hero/74ea2ae347e7406183e338f3c311a121_1701315227122410800.webp,
4-C2VKLAC2MBT2NJ,Stuff'd - Funan,"Healthy, Salad, Mexican, Halal, Group Friendly",4.3,25,0.5,False,1.29106578346931,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C2VKLAC2MBT2NJ/hero/43dfeeb6919a48d4a8db95a9a93a0ac0_1625204021157211612.webp,
4-C24JRFVTGA4GUA,Hototogisu Maze Soba - Funan,"Japanese, Ramen, Noodles",4.3,25,0.5,False,1.29106578346931,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C24JRFVTGA4GUA/hero/52f2017a9e2c45cb8a841d30115ae4bc_1689823733816377621.webp,
4-C2XJHGMET2T3EX,Don Jr - Funan,"Japanese, Snack",4.1,20,0.5,False,1.291066,103.850386,,https://food-cms.grab.com/compressed_webp/merchants/4-C2XJHGMET2T3EX/hero/04cf6cac5b6248f2aaef3233473bd4e4_1628839964996275911.webp,
4-C35YTYWFGB4JDA,Korean Cuisine - Funan Mall,Korean,1,20,0.501,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFGB4JDA/hero/66c91fa5d0824ce496e409bad191e85f_1677585665417903461.webp,
4-C35YTYWFCKLJTN,Big Grill - Best of Australian Steaks - Funan Mall,"Western, Local & Malaysian, BBQ & Grill",,20,0.501,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFCKLJTN/hero/714176e20ee149db962dc94896467cd2_1677585665211761798.webp,
4-C35YTYWFCETYJT,Mala Hotpot - Funan Mall,"Chinese, Local & Malaysian, Mala",,20,0.501,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFCETYJT/hero/e101db00634e4dee824b2761b9a3bcac_1677585665247601524.webp,
4-C35YTYWFCEAGNE,Claypot Delight - Funan Mall,"Local & Malaysian, Noodles",,20,0.5,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFCEAGNE/hero/58d5ab67e7024175b845b7e463c11b20_1677585665217506083.webp,
4-C35YTYWFAUUETT,Amanda Yong Tau Foo - Funan Mall,Local & Malaysian,,20,0.5,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFAUUETT/hero/624df2c47d614cefb5232bd821df44a6_1677585665188127812.webp,
4-C35YTYWFATCWBE,Penyet King - Funan Mall,Local & Malaysian,,20,0.5,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFATCWBE/hero/eae923c2deec476ab65b4455df991833_1677585665197015409.webp,
4-C35YTYWFA6NAAJ,Fish Soup Ban Mian - Funan Mall,"Local & Malaysian, Seafood, Noodles",,20,0.501,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFA6NAAJ/hero/1fdac1686e784737a13e47b85c08eece_1677585665218446026.webp,
4-C35YTYWFA62FTA,Tong Luck Mixed Veg Rice - Funan Mall,"Local & Malaysian, Chinese, Hawker",,20,0.5,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFA62FTA/hero/62672e7e7823444583b7aac2e39e13a1_1677585665192245189.webp,
4-C35YTYWFA4NWSE,Yuan Wei Mini Wok - Funan Mall,"Local & Malaysian, Noodles, Zi Char",,20,0.501,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWFA4NWSE/hero/1665710cc9114ba19552723a7005a87e_1677585665241717036.webp,
4-C35YTYWEV2LFJ6,Flavors of Japan - Funan Mall,"Japanese, Ramen",,20,0.501,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWEV2LFJ6/hero/96f42d4e6b024a54864e321eb3a3916c_1677585665093895454.webp,
4-C35YTYWEV2EBRE,Dim Sum - Funan Mall,"Dim Sum, Local & Malaysian",,20,0.5,False,1.2910662,103.85038604662,,https://food-cms.grab.com/compressed_webp/merchants/4-C35YTYWEV2EBRE/hero/57b60e81819c4794a268db6b1e590755_1677585665082414617.webp,
4-C4NBJNMVAYXZME,Wingstop - Funan,"Fast Food, Fried Chicken, Western, Halal",4,30,0.504,True,1.2910662,103.85038604661986,,https://food-cms.grab.com/compressed_webp/merchants/4-C4NBJNMVAYXZME/hero/075a63a4634d4a40aabb5d5db0eff6d7_1698227336785199080.webp,"['zeusPromoShortTag', 'mfcPromoTag']"
4-C4DGKA4GN4CDE2,Xi Men Jie - Funan,"Chinese, Healthy, Drinks & Beverages",4.6,25,0.501,False,1.2910662,103.85038604661986,,https://food-cms.grab.com/compressed_webp/merchants/4-C4DGKA4GN4CDE2/hero/33a056d615c04e2694f65862e2aabeef_1686715477563979868.webp,
SGDD01392,Bee Kee Truffle Wanton Noodle - CapitaSpring,"Chinese, Noodles, Drinks & Beverages",4.2,35,1.47,False,1.2848815243836065,103.85026225030562,,https://food-cms.grab.com/compressed_webp/merchants/SGDD01392/hero/21b36c4eca624821b6aa2610f56ad4bf_1557975851087114497.webp,
SGDD12541,PENG 鹏 Tiong Bahru Wanton Mee - CapitaSpring,"Chinese, Local & Malaysian, Noodles",4.6,30,1.471,False,1.2848757010405207,103.85026684726591,,https://food-cms.grab.com/compressed_webp/merchants/SGDD12541/hero/f99f8173067c4de28263cae040358031_1562900512270091831.webp,
SGDD01360,Authentic Hock Lam Beef Noodles - 13 North Canal Road,"Chinese, Noodles",4.6,30,1.543,False,1.286303654,103.8487599,,https://food-cms.grab.com/compressed_webp/merchants/SGDD01360/hero/upload-photo-Hero_Photo_2a6eb535c65643bab307a4cb3ef892cf_1554873082830030787.webp,
4-CZJZBADJCXA2NN,Potato Corner - Funan,"Local & Malaysian, Fast Food, Snack",4.4,25,0.515,False,1.291142,103.850453,,https://food-cms.grab.com/compressed_webp/merchants/4-CZJZBADJCXA2NN/hero/766c8c6592804738931b64e18f799058_1649250388867135963.webp,
4-C4MYGELXJZLWJJ,Cellarbration Bistro & Bottle Shop - Lorong Telok,"Alcohol, Mart, Drinks & Beverages",1,25,1.423,False,1.286860584,103.8485018,,https://food-cms.grab.com/compressed_webp/merchants/4-C4MYGELXJZLWJJ/hero/5fe69a2d418a421c8a7208febdfe8566_1697622476149593074.webp,
4-C2EAC3VJEBUWL2,Yakizen - Boat Quay Conservation Area,"Japanese, BBQ & Grill, Salad, Zi Char, Sushi",3.3,30,1.419,False,1.286563,103.84861451118246,,https://food-cms.grab.com/compressed_webp/merchants/4-C2EAC3VJEBUWL2/hero/5ec2d1592a54496b85eb3bf9e4fef19b_1615954567790319964.webp,
4-C3VWVT6ETNUVLT,Dondonburi - Lorong Telok,"Japanese, Noodles, Drinks & Beverages",,25,1.444,False,1.286563,103.848614511182,,https://food-cms.grab.com/compressed_webp/merchants/4-C3VWVT6ETNUVLT/hero/f8b60ef69e7f404e8795f7bfe459c306_1680153155580503810.webp,
4-C22KT6VFVYJHC6,Beng Thin Hoon Kee - OCBC Centre,"Chinese, Dessert, Drinks & Beverages",4.2,30,1.373,False,1.28546774398166,103.849360399838,,https://food-cms.grab.com/compressed_webp/merchants/4-C22KT6VFVYJHC6/hero/17041e6569454ee08346465729b299c8_1634696875645691342.webp,
4-C6CCKELHFGA2AA,Hisingapore - High Street Centre,"Mart, Healthy, Snacks",,20,0.925,False,1.2902970491,103.8492212,,https://food-cms.grab.com/compressed_webp/merchants/4-C6CCKELHFGA2AA/hero/995dbb53e6fe473ea20821b437fa3066_1704274890088000673.webp,
4-C3VJR76KJXXADA,The Good Boys - High Street Plaza,"Drinks & Beverages, Healthy",4,25,0.924,False,1.2903829531375,103.849297971757,,https://food-cms.grab.com/compressed_webp/merchants/4-C3VJR76KJXXADA/hero/05e87b1d1bfc424591f4ecd257be8c98_1664936270961766800.webp,
4-C3UBCEDHTT6FCN,Flo Dining - High Street Plaza,"Japanese, Chicken, Vegetarian Friendly",3,25,0.899,False,1.2903829531375,103.849297971757,,https://food-cms.grab.com/compressed_webp/merchants/4-C3UBCEDHTT6FCN/hero/f98b6d9f33f14cadaa685be98fb7684c_1670836813811506268.webp,
SGDD08664,Ricciotti - The Riverwalk,"Pasta, Pizza, Italian",3.4,30,1.206,False,1.2892158391798627,103.84854476261046,,https://food-cms.grab.com/compressed_webp/merchants/SGDD08664/hero/ricciotti.webp,
4-CYW1LZNWMCNJVA,Sinpopo Coffee - Funan ,"Bakery & Cake, Local & Malaysian",4.4,25,0.514,False,1.2911644191593723,103.85045305820518,,https://food-cms.grab.com/compressed_webp/merchants/4-CYW1LZNWMCNJVA/hero/06d727d3fb784362a9d22a0778aaa060_1596079937413780538.webp,
4-C3JDL6TGDF3WNN,Ramanico Delights - High Street Plaza,Chinese,2,20,0.918,False,1.29045,103.849358,,https://food-cms.grab.com/compressed_webp/merchants/4-C3JDL6TGDF3WNN/hero/bce70587d1f44447905ae9e75631af17_1650357206323164200.webp,
4-CYXBCJDGNGE3EJ,Sushi Express - Funan,"Dessert, Sushi, Japanese, Group Friendly",4.3,30,0.505,False,1.2911182921637732,103.8503335760318,,https://food-cms.grab.com/compressed_webp/merchants/4-CYXBCJDGNGE3EJ/hero/fd52c776-17ad-484c-a7a4-c1f4c12b8b7a__store_cover__2024__03__28__10__01__20.webp,
4-CZCUCRKVCAMYVA,Souperstar - One Raffles Place,Salad,4.8,35,1.511,False,1.284500731659856,103.8512442,,https://food-cms.grab.com/compressed_webp/merchants/4-CZCUCRKVCAMYVA/hero/bb64248d14cd4abf8f83f2a10ad90019_1585557891727726140.webp,
4-C6BAGXDYGJDBET,Tummy Delights - Raffles Place,"Chinese, Western, BBQ & Grill",,35,1.737,False,1.2845023037530439,103.85242058534266,,https://food-cms.grab.com/compressed_webp/merchants/4-C6BAGXDYGJDBET/hero/ce01dbad744446a48d037ac063160fb5_1702291401416278545.webp,
4-C6EYGAVWLNBENN,Whiskdom Cookies & Brownies - Raffles Place,"Bakery & Cake, Dessert, Coffee & Tea",5,30,1.512,False,1.2844912975567617,103.85108222166481,,https://food-cms.grab.com/compressed_webp/merchants/4-C6EYGAVWLNBENN/hero/c52ee8e4e1d84757b54cd96755c7205a_1709610208800090503.webp,
4-C4MDVPMAFCDKCJ,SF Fruit & Juices - One Raffles Place,"Healthy, Drinks & Beverages, Fresh Produce",4.7,30,1.512,False,1.2844786715919128,103.85108127550596,,https://food-cms.grab.com/compressed_webp/merchants/4-C4MDVPMAFCDKCJ/hero/5a565234da3844c5b719b85a6161da03_1696403089866970119.webp,
4-CYLJWGMVVLNVTE,Peach Garden - OCBC Centre,"Chinese, Dim Sum, Seafood",4.1,25,1.402,False,1.2854056,103.8493107,,https://food-cms.grab.com/compressed_webp/merchants/4-CYLJWGMVVLNVTE/hero/fe198f684c114e5f8f11ce5fe407da15_1610423076413063106.webp,
SGDD01271,Vinothek Leopold - Lorong Telok,"Alcohol, Beverages, Western, Mart, Vegan",4.1,25,1.491,False,1.286597664830608,103.84850110808395,,https://food-cms.grab.com/compressed_webp/merchants/SGDD01271/hero/40cceb0e63b94de88a46a5fb83eab4b6_1586782773663855658.webp,
